player_id,player_lastname,player_firstname,season,pos,age,tim,g,gs,mp,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts
garneke01,Garnett,Kevin,2015,PF,38,BRK,42,42,20.3,3.0,6.5,0.455,0.0,0.1,0.16699999999999998,3.0,6.4,0.461,0.456,0.8,1.0,0.8290000000000001,1.1,5.7,6.8,1.6,1.0,0.3,1.1,2.3,6.8
garneke01,Garnett,Kevin,2015,PF,38,MIN,5,5,19.6,3.6,6.2,0.581,0.0,0.2,0.0,3.6,6.0,0.6,0.581,0.4,0.8,0.5,0.4,4.8,5.2,1.6,1.0,0.8,0.2,2.6,7.6
gasolma01,Gasol,Marc,2015,C,30,MEM,81,81,33.2,6.5,13.2,0.494,0.0,0.2,0.17600000000000002,6.5,13.0,0.5,0.496,4.3,5.4,0.795,1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6,17.4
gasolpa01,Gasol,Pau,2015,PF,34,CHI,78,78,34.4,7.3,14.8,0.494,0.2,0.3,0.462,7.2,14.4,0.495,0.5,3.8,4.7,0.8029999999999999,2.8,9.0,11.8,2.7,0.3,1.9,2.0,1.9,18.5
gayru01,Gay,Rudy,2015,SF,28,SAC,68,67,35.4,7.5,16.4,0.455,1.2,3.2,0.359,6.3,13.2,0.479,0.491,5.0,5.8,0.858,1.4,4.4,5.9,3.7,1.0,0.6,2.7,2.3,21.1
geeal01,Gee,Alonzo,2015,SF,27,TOT,54,2,12.3,1.6,3.4,0.46799999999999997,0.2,0.6,0.371,1.4,2.8,0.49,0.503,1.0,1.4,0.701,0.7,1.1,1.7,0.5,0.6,0.1,0.6,1.1,4.5
geeal01,Gee,Alonzo,2015,SF,27,DEN,39,0,13.1,1.7,3.5,0.48200000000000004,0.3,0.6,0.41700000000000004,1.4,2.9,0.496,0.518,1.2,1.7,0.738,0.7,1.1,1.8,0.5,0.7,0.2,0.6,1.1,4.9
geeal01,Gee,Alonzo,2015,SF,27,POR,15,2,10.1,1.4,3.3,0.429,0.2,0.7,0.273,1.2,2.5,0.474,0.45899999999999996,0.4,0.8,0.5,0.5,1.1,1.6,0.4,0.5,0.1,0.5,1.1,3.4
georgpa01,George,Paul,2015,SF,24,IND,6,0,15.2,3.0,8.2,0.36700000000000005,1.5,3.7,0.409,1.5,4.5,0.33299999999999996,0.45899999999999996,1.3,1.8,0.727,0.7,3.0,3.7,1.0,0.8,0.2,2.0,1.8,8.8
gibsota01,Gibson,Taj,2015,PF,29,CHI,62,17,27.3,4.1,8.2,0.502,0.0,0.0,,4.1,8.2,0.502,0.502,2.1,3.0,0.7170000000000001,2.6,3.8,6.4,1.1,0.6,1.2,1.2,2.6,10.3
ginobma01,Ginobili,Manu,2015,SG,37,SAS,70,0,22.7,3.6,8.4,0.426,1.3,3.7,0.345,2.3,4.7,0.489,0.502,2.1,2.9,0.721,0.4,2.6,3.0,4.2,1.0,0.3,2.2,2.0,10.5
goberru01,Gobert,Rudy,2015,C,22,UTA,82,37,26.3,3.1,5.2,0.604,0.0,0.0,0.0,3.1,5.2,0.607,0.604,2.1,3.3,0.623,3.2,6.2,9.5,1.3,0.8,2.3,1.4,2.1,8.4
goodedr01,Gooden,Drew,2015,PF,33,WAS,51,7,16.9,2.2,5.4,0.39899999999999997,0.5,1.2,0.39,1.7,4.3,0.401,0.44,0.7,0.9,0.773,1.4,3.0,4.4,1.0,0.4,0.2,0.5,1.8,5.4
goodwar01,Goodwin,Archie,2015,SG,20,PHO,41,2,13.0,1.9,4.9,0.39299999999999996,0.3,1.0,0.293,1.6,3.9,0.419,0.423,1.5,2.0,0.735,0.7,1.1,1.8,1.1,0.4,0.2,1.2,1.3,5.6
gordoaa01,Gordon,Aaron,2015,PF,19,ORL,47,8,17.0,2.0,4.4,0.447,0.3,1.0,0.271,1.7,3.4,0.5,0.478,0.9,1.3,0.721,1.0,2.6,3.6,0.7,0.4,0.5,0.8,1.8,5.2
gordobe01,Gordon,Ben,2015,SG,31,ORL,56,0,14.1,2.3,5.3,0.43700000000000006,0.6,1.7,0.361,1.7,3.5,0.475,0.49700000000000005,1.0,1.2,0.836,0.1,1.0,1.1,0.9,0.3,0.0,1.0,1.1,6.2
