player_id,player_lastname,player_firstname
toupaax01,Toupane,Axel
townska01,Towns,Karl-Anthony
trentga02,Trent,Gary
trieral01,Trier,Allonzo
tuckepj01,Tucker,P.J.
turiaro01,Turiaf,Ronny
turkohe01,Turkoglu,Hedo
turnemy01,Turner,Myles
turneev01,Turner,Evan
tylerje01,Tyler,Jeremy
udohek01,Udoh,Ekpe
udrihbe01,Udrih,Beno
ulisty01,Ulis,Tyler
uthofja01,Uthoff,Jarrod
valanjo01,Valanciunas,Jonas
valende01,Valentine,Denzel
vanvlfr01,VanVleet,Fred
vandeja01,Vanderbilt,Jarred
varejan01,Varejao,Anderson
varnaja01,Varnado,Jarvis
vasqugr01,Vasquez,Greivis
vaughra01,Vaughn,Rashad
veselja01,Vesely,Jan
villach01,Villanueva,Charlie
vonleno01,Vonleh,Noah
vucevni01,Vucevic,Nikola
vujacsa01,Vujacic,Sasha
wadedw01,Wade,Dwyane
wagnemo01,Wagner,Moritz
waitedi01,Waiters,Dion
walkeke02,Walker,Kemba
walkebi01,Walker,Henry
walkelo01,Walker,Lonnie
walljo01,Wall,John
wallage01,Wallace,Gerald
